date, Population, Annual Change
1987-12-31,3376000,0.42
1988-12-31,3390000,0.41
1989-12-31,3404000,0.41
1990-12-31,3428000,0.71
1991-12-31,3486000,1.69
1992-12-31,3544000,1.66
1993-12-31,3604000,1.69
1994-12-31,3664000,1.66
1995-12-31,3726000,1.69
1996-12-31,3788000,1.66
1997-12-31,3852000,1.69
1998-12-31,3917000,1.69
1999-12-31,3982000,1.66
2000-12-31,4036000,1.36
2001-12-31,4051000,0.37
2002-12-31,4065000,0.35
2003-12-31,4080000,0.37
2004-12-31,4095000,0.37
2005-12-31,4110000,0.37
2006-12-31,4125000,0.36
2007-12-31,4140000,0.36
2008-12-31,4155000,0.36
2009-12-31,4170000,0.36
2010-12-31,4185000,0.36
2011-12-31,4200000,0.36
2012-12-31,4215000,0.36
2013-12-31,4230000,0.36
2014-12-31,4246000,0.38
2015-12-31,4261000,0.35
2016-12-31,4277000,0.38
2017-12-31,4292000,0.35
2018-12-31,4308000,0.37
2019-12-31,4307000,-0.02
2020-12-31,4309000,0.05
