DATE,MEHOINUSNYA672N
1984-01-01,51768
1985-01-01,53712
1986-01-01,55883
1987-01-01,56959
1988-01-01,60246
1989-01-01,62875
1990-01-01,60101
1991-01-01,58364
1992-01-01,55617
1993-01-01,55378
1994-01-01,54591
1995-01-01,55193
1996-01-01,57639
1997-01-01,57037
1998-01-01,58784
1999-01-01,61553
2000-01-01,60657
2001-01-01,60961
2002-01-01,59804
2003-01-01,59621
2004-01-01,60578
2005-01-01,61909
2006-01-01,61295
2007-01-01,60497
2008-01-01,60065
2009-01-01,59982
2010-01-01,58497
2011-01-01,57684
2012-01-01,53190
2013-01-01,54926
2014-01-01,58707
2015-01-01,62594
2016-01-01,65453
2017-01-01,64185
2018-01-01,68493
2019-01-01,71855
