DATE,MEHOINUSCAA672N
1984-01-01,59429
1985-01-01,61306
1986-01-01,64782
1987-01-01,65080
1988-01-01,63105
1989-01-01,65895
1990-01-01,63333
1991-01-01,61797
1992-01-01,62517
1993-01-01,59529
1994-01-01,60464
1995-01-01,61846
1996-01-01,63176
1997-01-01,63245
1998-01-01,64349
1999-01-01,67156
2000-01-01,69696
2001-01-01,68413
2002-01-01,67600
2003-01-01,68695
2004-01-01,66782
2005-01-01,67918
2006-01-01,70316
2007-01-01,68890
2008-01-01,67865
2009-01-01,67051
2010-01-01,63788
2011-01-01,60795
2012-01-01,63609
2013-01-01,66829
2014-01-01,65384
2015-01-01,68670
2016-01-01,70993
2017-01-01,73045
2018-01-01,71766
2019-01-01,78105
