date, Population, Annual Change
1987-12-31,15918000,0.29
1988-12-31,15964000,0.29
1989-12-31,16009000,0.28
1990-12-31,16086000,0.48
1991-12-31,16253000,1.04
1992-12-31,16423000,1.05
1993-12-31,16595000,1.05
1994-12-31,16768000,1.04
1995-12-31,16943000,1.04
1996-12-31,17120000,1.04
1997-12-31,17298000,1.04
1998-12-31,17479000,1.05
1999-12-31,17661000,1.04
2000-12-31,17813000,0.86
2001-12-31,17868000,0.31
2002-12-31,17922000,0.3
2003-12-31,17977000,0.31
2004-12-31,18032000,0.31
2005-12-31,18087000,0.31
2006-12-31,18142000,0.3
2007-12-31,18198000,0.31
2008-12-31,18254000,0.31
2009-12-31,18309000,0.3
2010-12-31,18365000,0.31
2011-12-31,18421000,0.3
2012-12-31,18478000,0.31
2013-12-31,18534000,0.3
2014-12-31,18591000,0.31
2015-12-31,18648000,0.31
2016-12-31,18705000,0.31
2017-12-31,18762000,0.3
2018-12-31,18819000,0.3
2019-12-31,18805000,-0.07
2020-12-31,18804000,-0.01
